name,year,season,episode,imdb,wdwt,genre
Magical,2026,1,,,Fantasy
Married in blue,2026,1,,,Drama
Melancholia,2021,1,16,7.4,,Drama
Memorials,2020,1,16,7.7,,Comedy
Memorist,2020,1,16,7.6,,Supernatural
Men of plastic,2022,1,,,6.1,,Comedy
Military prosecutor Doberman,2022,1,16,7.7,,Action
Mimicus,2022,1,16,7.3,,Drama
Missing: The other side,2020,1,12,7.9,,Supernatural
Missing: The other side 2,2022,2,14,8.2,,Supernatural
Money Heist: Korea - Joint Economic Area,2022,1,6,6.9,,Action
Monstrous,2022,1,6,5.9,,Supernatural
Moon in the day,2023,1,14,7.2,,Supernatural
Morbius,2022,1,,,5.2,,Supernatural
Mouse,2021,1,20,8.7,Great,Thriller
Mr. Queen,2020,1,20,8.6,Great,Time Travel
Mr. Sunshine,2018,1,24,8.7,Great,History Drama
My Bossy Girl,2019,1,,,5.5,,Rom Com
My Country: The New Age,2019,1,16,8.4,,History Drama
My Demon,2023,1,16,7.8,,Rom Com
My First First Love,2019,1,8,7.5,,Rom Com
My ID Is Gangnam Beauty,2018,1,16,7.4,,Rom Com
My Lovely Liar,2023,1,16,7.5,,Supernatural
My Man is Cupid,2023,1,16,7.3,,Fantasy
My Mister,2018,1,16,9.1,Excellent,Drama
My Name,2021,1,8,7.8,Good,Action
My Roommate Is a Gumiho,2021,1,16,7.7,,Fantasy
Night Has Come,2023,1,12,7.1,,Thriller
No Escape,2024,1,8,7.0,,Thriller
Nobody Knows,2020,1,16,7.6,,Thriller
Not Others,2023,1,12,7.6,,Comedy
Odd Detective,2026,1,,,Action
Once Upon a Small Town,2022,1,12,7.2,,Rom Com
One Ordinary Day,2021,1,8,8.1,Great,Drama
Our Blues,2022,1,20,8.5,Great,Drama
Our Movie,2025,1,,,Drama
Our Unwritten Seoul,2025,1,,,Drama
Pachinko,2022,1,8,8.3,Great,Drama
Pachinko 2,2024,2,8,8.5,Great,Drama
Parasite,2019,1,,,8.5,,Thriller
Parasyte: The Grey,2024,1,6,7.2,,Sci Fi
Penthouse,2020,1,21,7.9,,Drama
Playful kiss,2010,1,16,6.9,,Rom Com
Police university,2021,1,16,7.3,,Comedy
Prime Minister and I,2013,1,17,7.3,,Comedy
Prison playbook,2017,1,16,8.4,Great,Drama
Pyramid Game,2024,1,10,8.3,Great,Thriller
Racket boys,2021,1,16,8.3,Great,Drama
Reborn rich,2022,1,16,8.0,,Fantasy
Record of youth,2020,1,16,7.3,,Drama
Red Swan,2024,1,10,6.8,,Drama
Remember: War of the son,2015,1,20,7.6,,Drama
Remarriage & Desires,2022,1,8,6.8,,Drama
Revenant,2023,1,12,7.9,,Supernatural
Rookie cops,2022,1,16,7.6,,Drama
Rookie Historian Goo Hae-ryung,2019,1,20,7.9,,Historical Drama
Rule the World,2026,1,,,Action
Run on,2020,1,16,7.4,,Rom Com
S-Line,2025,1,,,Sci Fi
Save me,2017,1,16,8.0,,Thriller
Search: WWW,2019,1,16,7.8,,Drama
Secret Royal Inspector & Joy,2021,1,16,7.5,,Comedy
Secret Royal Inspector Joseon Secret Agent,2020,1,16,7.6,,Comedy
See you in my 19th life,2023,1,12,7.4,,Fantasy
Seasons of blossom,2022,1,16,7.5,,Drama
Sell your haunted house,2021,1,16,7.8,,Supernatural
Seoul busters,2024,1,20,7.8,,Comedy
Shadow detective,2022,1,8,7.7,,Thriller
Shadow detective 2,2023,2,8,7.9,,Thriller
Shark: The beginning,2021,1,,,6.2,,Action
She would never know,2021,1,16,7.3,,Rom Com
Sh**ting stars,2022,1,16,7.7,,Rom Com
Signal,2016,1,16,8.5,Great,Thriller
Sisyphus: The Myth,2021,1,16,7.0,,Sci Fi
Squid Game,2021,1,9,8.0,Great,Thriller
Squid Game 2,2024,2,7,7.6,,Thriller
Squid Game 3,2025,3,6,7.5,,Thriller
Stealer: The treasure keeper,2023,1,12,7.1,,Action
Stove league,2019,1,16,8.1,,Drama
Stranger,2017,1,16,8.5,Great,Thriller
Stranger 2,2020,2,16,8.3,Great,Thriller
Strong Girl Nam-soon,2023,1,16,6.9,,Superhero
Strong Woman Do Bong-soon,2017,1,16,8.2,,Superhero
Study Group,2025,1,,,Action
Summer strike,2022,1,12,7.5,,Drama
Sweet home,2020,1,10,7.3,,Horror
Sweet home 2,2023,2,8,5.7,,Horror
Sweet home 3,2024,3,8,6.1,,Horror
Switched,2026,1,,,Sci Fi
Taxi driver,2021,1,16,8.1,Great,Action
Taxi driver 2,2023,2,16,8.5,Great,Action
Tell Me You Love Me,2023,1,16,7.6,,Drama
Ten Percent,2022,1,12,7.3,,Comedy
The Atypical Family,2024,1,12,8.0,,Superhero
The Bequeathed,2024,1,6,6.0,,Thriller
The Bride of Habaek,2017,1,16,6.8,,Fantasy
The Crowned Clown,2019,1,16,7.8,,Historical Drama
The Devil's Plan,2023,1,12,8.0,,Drama
The Empire,2022,1,16,7.2,,Drama
The First Responders,2022,1,12,7.9,,Action
The First Responders 2,2023,2,12,8.2,,Action
The Glory,2022,1,8,8.1,Great,Thriller
The Glory 2,2023,1,8,8.3,Great,Thriller
The Good Bad Mother,2023,1,14,8.3,Great,Comedy
The Great Shaman Ga Doo-shim,2021,1,12,7.4,,Supernatural
The Impossible Heir,2024,1,12,6.2,,Drama/Comedy
The King: Eternal Monarch,2020,1,16,8.2,Great,Fantasy
The Killing Vote,2023,1,12,7.2,,Thriller
The Legend of the Blue Sea,2016,1,20,8.1,,Fantasy
The Married Life,2020,1,16,8.0,,Drama
The Midnight Studio,2024,1,16,7.9,,Supernatural
The Penthouse 2,2021,2,13,7.9,,Drama
The Penthouse 3,2021,3,14,7.6,,Drama
The Price of Confession,2025,1,,,Rom/Thriller
The Queen's Umbrella,2022,1,16,8.5,,Historical Drama
The Recruit,2022,1,8,7.5,,Action
The Round Up,2022,1,,,Action
The Salty Muffin,2026,1,,,Comedy
The Scent of a Woman,2011,1,16,7.8,,Drama
The Second Husband,2021,1,150,6.5,,Drama
The Silent Sea,2021,1,8,6.9,,Sci Fi
The Sound of Magic,2022,1,6,7.7,,Drama
The Spies Who Loved Me,2020,1,16,7.1,,Action
The Tale of a Gumiho,2020,1,16,7.9,,Fantasy
The Tale of a Gumiho 1938,2023,2,12,8.1,,Fantasy
The Trunk,2024,1,8,7.2,,Drama
The Uncanny Counter,2020,1,16,8.1,Great,Superhero
The Uncanny Counter 2,2023,2,12,7.7,,Superhero
The Tyrant,2024,1,4,6.7,,Action
The Witch's Diner,2021,1,8,7.5,,Fantasy
Through the Darkness,2022,1,12,8.1,Great,Thriller
Tomorrow,2022,1,16,7.9,,Supernatural
Tomorrow With You,2017,1,16,7.5,,Sci Fi
Train,2019,1,12,7.5,,Sci Fi
Tracer,2022,1,16,7.2,,Drama
Triad,2026,1,,,Action
Trigger,2025,1,,,Action
True Beauty,2020,1,16,8.0,,Rom Com
Tunnel,2017,1,16,8.2,Great,Time Travel
Twenty-Five Twenty-One,2022,1,16,8.6,Great,Drama
Twinkling Watermelon,2023,1,16,8.8,Great,Time Travel
Uncontrollably Fond,2016,1,20,7.7,,Melodrama
Under the Queen's Umbrella,2022,1,16,8.5,,Historical Drama
Undercover,2021,1,16,7.6,,Thriller
Untouchable,2017,1,16,6.9,,Drama/Comedy
Vagabond,2019,1,16,8.1,Great,Action
Vincenzo,2021,1,20,8.4,Great,Action
V.I.P.,2019,1,16,7.3,,Drama
Voice,2017,1,16,7.6,,Thriller
Voice 2,2018,2,12,7.7,,Thriller
Voice 3,2019,3,16,7.7,,Thriller
Voice 4,2021,4,14,7.7,,Thriller
Weak Hero Class 1,2022,1,8,8.5,Great,Action
Welcome to Samdal-ri,2023,1,16,8.2,Great,Comedy
What's Wrong with Secretary Kim,2018,1,16,8.1,Great,Rom Com
While You Were Sleeping,2017,1,16,8.1,Great,Fantasy
Why Her?,2022,1,16,7.4,,Drama
Wild Romance,2012,1,16,7.2,,Rom Com
Witch at Court,2017,1,16,7.5,,Drama/Comedy
Wonderful World,2024,1,14,7.6,,Drama
